2020-02-11/21:44:00		Error while creating table: no such column: F 
2020-02-11/23:22:44		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:44		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:44		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:45		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:46		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:47		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:48		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:49		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:50		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:51		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:52		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:53		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:54		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:55		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:56		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:57		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
2020-02-11/23:22:58		 hypothyroid_21012019_034556.csv: File loaded successfully!!
